TIME_MS,MODE,TARGET,YAW,OUTPUT,KP,KI,KD
4680,1,30.0,294.15893847287373,1000.0,8.0,0.1,1.5
4690,1,30.0,-294.0865323767219,2000.0,8.0,0.1,1.5
4700,1,30.0,294.1358056270919,1000.0,8.0,0.1,1.5
4710,1,30.0,-294.1140666552112,2000.0,8.0,0.1,1.5
4720,1,30.0,294.1063294709885,1000.0,8.0,0.1,1.5
4730,1,30.0,-294.14285167169135,2000.0,8.0,0.1,1.5
4740,1,30.0,294.0808068739248,1000.0,8.0,0.1,1.5
4750,1,30.0,-294.1628319917556,2000.0,8.0,0.1,1.5
4760,1,30.0,294.0681536133449,1000.0,8.0,0.1,1.5
4770,1,30.0,-294.1670279147681,2000.0,8.0,0.1,1.5
4780,1,30.0,294.07278983720596,1000.0,8.0,0.1,1.5
4790,1,30.0,-294.15397368410316,2000.0,8.0,0.1,1.5
4800,1,30.0,294.0930959791283,1000.0,8.0,0.1,1.5
4810,1,30.0,-294.1282295181046,2000.0,8.0,0.1,1.5
4820,1,30.0,294.12197851952703,1000.0,8.0,0.1,1.5
4830,1,30.0,-294.09878859462003,2000.0,8.0,0.1,1.5
4840,1,30.0,294.149347956085,1000.0,8.0,0.1,1.5
4850,1,30.0,-294.0759354752433,2000.0,8.0,0.1,1.5
4860,1,30.0,294.1656433571889,1000.0,8.0,0.1,1.5
4870,1,30.0,-294.067653412061,2000.0,8.0,0.1,1.5
4880,1,30.0,294.1651722704115,1000.0,8.0,0.1,1.5
4890,1,30.0,-294.0768355680193,2000.0,8.0,0.1,1.5
4900,1,30.0,294.1480992599174,1000.0,8.0,0.1,1.5
4910,1,30.0,-294.1002743518696,2000.0,8.0,0.1,1.5
4920,1,30.0,294.1203884194657,1000.0,8.0,0.1,1.5
4930,1,30.0,-294.12978192207487,2000.0,8.0,0.1,1.5
4940,1,30.0,294.0917199428722,1000.0,8.0,0.1,1.5
4950,1,30.0,-294.1550504354244,2000.0,8.0,0.1,1.5
4960,1,30.0,294.07210855380816,1000.0,8.0,0.1,1.5
4970,1,30.0,-294.1672528732255,2000.0,8.0,0.1,1.5
4980,1,30.0,294.0684050746969,1000.0,8.0,0.1,1.5
4990,1,30.0,-294.1621265728878,2000.0,8.0,0.1,1.5
5000,1,0.0,294.08190323734175,1000.0,8.0,0.1,1.5
5010,1,0.0,-294.141462298604,2000.0,8.0,0.1,1.5
5020,1,0.0,294.10788774518625,1000.0,8.0,0.1,1.5
5030,1,0.0,-294.11247867589617,2000.0,8.0,0.1,1.5
5040,1,0.0,294.13728146206137,1000.0,8.0,0.1,1.5
5050,1,0.0,-294.08530051804036,2000.0,8.0,0.1,1.5
5060,1,0.0,294.15981631700004,1000.0,8.0,0.1,1.5
5070,1,0.0,-294.06942193749603,2000.0,8.0,0.1,1.5
5080,1,0.0,294.1676202368404,1000.0,8.0,0.1,1.5
5090,1,0.0,-294.070389779277,2000.0,8.0,0.1,1.5
5100,1,0.0,294.15796708786195,1000.0,8.0,0.1,1.5
5110,1,0.0,-294.0878659484041,2000.0,8.0,0.1,1.5
5120,1,0.0,294.1342289927258,1000.0,8.0,0.1,1.5
5130,1,0.0,-294.11574551620885,2000.0,8.0,0.1,1.5
5140,1,0.0,294.1046983510122,1000.0,8.0,0.1,1.5
5150,1,0.0,-294.1442893475567,2000.0,8.0,0.1,1.5
5160,1,0.0,294.07969106547364,1000.0,8.0,0.1,1.5
5170,1,0.0,-294.16352626094675,2000.0,8.0,0.1,1.5
5180,1,0.0,294.0679429004129,1000.0,8.0,0.1,1.5
5190,1,0.0,-294.1667362490823,2000.0,8.0,0.1,1.5
5200,1,0.0,294.07355782788244,1000.0,8.0,0.1,1.5
5210,1,0.0,-294.1527979707558,2000.0,8.0,0.1,1.5
5220,1,0.0,294.09457439217476,1000.0,8.0,0.1,1.5
5230,1,0.0,-294.1265804675933,2000.0,8.0,0.1,1.5
5240,1,0.0,294.12365090273215,1000.0,8.0,0.1,1.5
5250,1,0.0,-294.09724226773193,2000.0,8.0,0.1,1.5
5260,1,0.0,294.1506300978805,1000.0,8.0,0.1,1.5
5270,1,0.0,-294.07503204844846,2000.0,8.0,0.1,1.5
5280,1,0.0,294.1660873685581,1000.0,8.0,0.1,1.5
5290,1,0.0,-294.0677084783307,2000.0,8.0,0.1,1.5
5300,1,0.0,294.16462304540886,1000.0,8.0,0.1,1.5
5310,1,0.0,-294.07782989112116,2000.0,8.0,0.1,1.5
5320,1,0.0,294.1467486586376,1000.0,8.0,0.1,1.5
